transaction_id,batch_id,scenario,process_code,status,transaction_date,warehouse_code,vendor,material_type,remarks
TXN-B1001-1,B1001,High Efficiency,PR,APPROVED,2025-02-21T03:08:09Z,WH-COLLECT,Vendor A - 3,HDPE,B1001:Collection
TXN-B1001-2,B1001,High Efficiency,SEG,APPROVED,2025-02-21T04:30:55Z,WH-COLLECT,Vendor A - 3,HDPE,B1001:Sorting
TXN-B1001-3,B1001,High Efficiency,MB,APPROVED,2025-02-21T06:44:46Z,WH-WASH,Vendor A - 3,HDPE,B1001:Processing
TXN-B1001-4,B1001,High Efficiency,MB,APPROVED,2025-02-21T11:07:26Z,WH-RECY,Vendor A - 3,HDPE,B1001:Recycling
TXN-B1001-5,B1001,High Efficiency,SD,APPROVED,2025-02-21T18:18:42Z,WH-FACT,Vendor A - 3,HDPE,B1001:Dispatch
TXN-B1002-1,B1002,High Efficiency,PR,APPROVED,2025-01-11T21:26:41Z,WH-COLLECT,Vendor A - 2,LDPE,B1002:Collection
TXN-B1002-2,B1002,High Efficiency,SEG,APPROVED,2025-01-12T00:20:29Z,WH-COLLECT,Vendor A - 2,LDPE,B1002:Sorting
TXN-B1002-3,B1002,High Efficiency,MB,APPROVED,2025-01-12T03:23:01Z,WH-WASH,Vendor A - 2,LDPE,B1002:Processing
TXN-B1002-4,B1002,High Efficiency,MB,APPROVED,2025-01-12T05:41:43Z,WH-RECY,Vendor A - 2,LDPE,B1002:Recycling
TXN-B1002-5,B1002,High Efficiency,SD,APPROVED,2025-01-12T08:05:30Z,WH-FACT,Vendor A - 2,LDPE,B1002:Dispatch
TXN-B1003-1,B1003,High Efficiency,PR,APPROVED,2025-02-09T04:54:19Z,WH-COLLECT,Vendor A - 4,PP,B1003:Collection
TXN-B1003-2,B1003,High Efficiency,SEG,APPROVED,2025-02-09T11:24:43Z,WH-COLLECT,Vendor A - 4,PP,B1003:Sorting
TXN-B1003-3,B1003,High Efficiency,MB,APPROVED,2025-02-09T14:12:09Z,WH-WASH,Vendor A - 4,PP,B1003:Processing
TXN-B1003-4,B1003,High Efficiency,MB,APPROVED,2025-02-09T17:42:45Z,WH-RECY,Vendor A - 4,PP,B1003:Recycling
TXN-B1003-5,B1003,High Efficiency,SD,APPROVED,2025-02-10T00:32:55Z,WH-FACT,Vendor A - 4,PP,B1003:Dispatch
TXN-B1004-1,B1004,High Efficiency,PR,APPROVED,2025-02-22T15:56:59Z,WH-COLLECT,Vendor A - 3,PVC,B1004:Collection
TXN-B1004-2,B1004,High Efficiency,SEG,APPROVED,2025-02-22T18:58:30Z,WH-COLLECT,Vendor A - 3,PVC,B1004:Sorting
TXN-B1004-3,B1004,High Efficiency,MB,APPROVED,2025-02-22T22:36:36Z,WH-WASH,Vendor A - 3,PVC,B1004:Processing
TXN-B1004-4,B1004,High Efficiency,MB,APPROVED,2025-02-23T01:22:37Z,WH-RECY,Vendor A - 3,PVC,B1004:Recycling
TXN-B1004-5,B1004,High Efficiency,SD,APPROVED,2025-02-23T06:14:55Z,WH-FACT,Vendor A - 3,PVC,B1004:Dispatch
TXN-B1005-1,B1005,High Efficiency,PR,APPROVED,2025-02-18T13:42:50Z,WH-COLLECT,Vendor A - 2,PET,B1005:Collection
TXN-B1005-2,B1005,High Efficiency,SEG,APPROVED,2025-02-18T17:05:42Z,WH-COLLECT,Vendor A - 2,PET,B1005:Sorting
TXN-B1005-3,B1005,High Efficiency,MB,APPROVED,2025-02-18T19:49:17Z,WH-WASH,Vendor A - 2,PET,B1005:Processing
TXN-B1005-4,B1005,High Efficiency,MB,APPROVED,2025-02-18T22:17:56Z,WH-RECY,Vendor A - 2,PET,B1005:Recycling
TXN-B1005-5,B1005,High Efficiency,SD,APPROVED,2025-02-19T02:26:43Z,WH-FACT,Vendor A - 2,PET,B1005:Dispatch
TXN-B1006-1,B1006,High Efficiency,PR,APPROVED,2025-01-27T11:44:31Z,WH-COLLECT,Vendor A - 4,PET,B1006:Collection
TXN-B1006-2,B1006,High Efficiency,SEG,APPROVED,2025-01-27T15:14:12Z,WH-COLLECT,Vendor A - 4,PET,B1006:Sorting
TXN-B1006-3,B1006,High Efficiency,MB,APPROVED,2025-01-27T16:16:31Z,WH-WASH,Vendor A - 4,PET,B1006:Processing
TXN-B1006-4,B1006,High Efficiency,MB,APPROVED,2025-01-27T22:14:50Z,WH-RECY,Vendor A - 4,PET,B1006:Recycling
TXN-B1006-5,B1006,High Efficiency,SD,APPROVED,2025-01-28T01:56:06Z,WH-FACT,Vendor A - 4,PET,B1006:Dispatch
TXN-B1007-1,B1007,High Efficiency,PR,APPROVED,2025-02-22T20:45:52Z,WH-COLLECT,Vendor A - 5,LDPE,B1007:Collection
TXN-B1007-2,B1007,High Efficiency,SEG,APPROVED,2025-02-23T01:43:05Z,WH-COLLECT,Vendor A - 5,LDPE,B1007:Sorting
TXN-B1007-3,B1007,High Efficiency,MB,APPROVED,2025-02-23T08:42:49Z,WH-WASH,Vendor A - 5,LDPE,B1007:Processing
TXN-B1007-4,B1007,High Efficiency,MB,APPROVED,2025-02-23T15:22:24Z,WH-RECY,Vendor A - 5,LDPE,B1007:Recycling
TXN-B1007-5,B1007,High Efficiency,SD,APPROVED,2025-02-23T16:45:27Z,WH-FACT,Vendor A - 5,LDPE,B1007:Dispatch
TXN-B1008-1,B1008,High Efficiency,PR,APPROVED,2025-01-08T17:30:36Z,WH-COLLECT,Vendor A - 2,PVC,B1008:Collection
