transaction_id,tenant_id,process_code,status,warehouse_code,transaction_date,remarks
TXN-0001,TENANT-001,PR,APPROVED,WH-COLLECT,2024-01-03,No issues observed.
TXN-0002,TENANT-001,SEG,APPROVED,WH-COLLECT,2024-01-06,Material quality within acceptable range.
TXN-0003,TENANT-001,MB,APPROVED,WH-COLLECT,2024-01-09,Split batch — part 1 of 2
TXN-0004,TENANT-001,MB,APPROVED,WH-COLLECT,2024-01-09,Split batch — part 2 of 2
TXN-0005,TENANT-001,WT,APPROVED,WH-COLLECT,2024-01-12,Standard operation completed.
TXN-0006,TENANT-001,WTR,APPROVED,WH-WASH,2024-01-14,Batch processed successfully.
TXN-0007,TENANT-001,MB,APPROVED,WH-WASH,2024-01-16,Material quality within acceptable range.
TXN-0008,TENANT-001,WT,CANCELLED,WH-COLLECT,2024-01-20,Transfer cancelled — vehicle breakdown.
TXN-0009,TENANT-001,PR,APPROVED,WH-COLLECT,2024-01-22,Material quality within acceptable range.
TXN-0010,TENANT-001,SEG,APPROVED,WH-COLLECT,2024-01-25,Material quality within acceptable range.
TXN-0011,TENANT-001,MB,APPROVED,WH-COLLECT,2024-01-28,Batch processed successfully.
TXN-0012,TENANT-001,WT,APPROVED,WH-COLLECT,2024-01-31,
TXN-0013,TENANT-001,WTR,APPROVED,WH-WASH,2024-02-02,Standard operation completed.
TXN-0014,TENANT-001,MB,APPROVED,WH-WASH,2024-02-05,Standard operation completed.
TXN-0015,TENANT-001,QC,APPROVED,WH-WASH,2024-02-06,QC on blended batch — both sources passed.
TXN-0016,TENANT-001,WT,APPROVED,WH-WASH,2024-02-08,Material quality within acceptable range.
TXN-0017,TENANT-001,WTR,APPROVED,WH-RECY,2024-02-09,
TXN-0018,TENANT-001,MB,REJECTED,WH-RECY,2024-02-10,Granulation failed — temperature variance. Sent for rework.
TXN-0019,TENANT-001,MB,APPROVED,WH-RECY,2024-02-13,Rework batch — temperature corrected. Granulation successful.
TXN-0020,TENANT-001,SD,APPROVED,WH-RECY,2024-02-16,Standard operation completed.
TXN-0021,TENANT-001,PR,APPROVED,WH-FACT,2024-02-17,Batch processed successfully.
TXN-0022,TENANT-001,MB,APPROVED,WH-FACT,2024-02-19,Finished product from reworked granules.
